plate_map_name	well_position	broad_sample	mg_per_ml	mmoles_per_liter	solvent
C-7161-01-LM6-026	A01				DMSO
C-7161-01-LM6-026	A02				DMSO
C-7161-01-LM6-026	A03				DMSO
C-7161-01-LM6-026	A04				DMSO
C-7161-01-LM6-026	A05				DMSO
C-7161-01-LM6-026	A06				DMSO
C-7161-01-LM6-026	A07	BRD-K87300616-001-01-9	3.92572000000000002	9.99999999999999999	DMSO
C-7161-01-LM6-026	A08	BRD-K87300616-001-01-9	1.30857333333232675	3.33333333333076923	DMSO
C-7161-01-LM6-026	A09	BRD-K87300616-001-01-9	0.436191111112788774	1.11111111111538462	DMSO
C-7161-01-LM6-026	A10	BRD-K87300616-001-01-9	0.145397037036589662	0.370370370369230769	DMSO
C-7161-01-LM6-026	A11	BRD-K87300616-001-01-9	0.0484656790121965542	0.123456790123076923	DMSO
C-7161-01-LM6-026	A12	BRD-K87300616-001-01-9	0.0161552263384054463	0.0411522633769230769	DMSO
C-7161-01-LM6-026	A13	BRD-A87479750-001-02-7	3.20750999999999976	9.99999999999999999	DMSO
C-7161-01-LM6-026	A14	BRD-A87479750-001-02-7	1.06916999999917748	3.33333333333076923	DMSO
C-7161-01-LM6-026	A15	BRD-A87479750-001-02-7	0.356390000001370706	1.11111111111538462	DMSO
C-7161-01-LM6-026	A16	BRD-A87479750-001-02-7	0.118796666666301130	0.370370370369230769	DMSO
C-7161-01-LM6-026	A17	BRD-A87479750-001-02-7	0.0395988888887670432	0.123456790123076923	DMSO
C-7161-01-LM6-026	A18	BRD-A87479750-001-02-7	0.0131996296304114529	0.0411522633769230769	DMSO
C-7161-01-LM6-026	A19	BRD-K87782578-001-01-4	4.23440200000000004	9.99999999999999999	DMSO
C-7161-01-LM6-026	A20	BRD-K87782578-001-01-4	1.41146733333224760	3.33333333333076923	DMSO
C-7161-01-LM6-026	A21	BRD-K87782578-001-01-4	0.470489111112920691	1.11111111111538462	DMSO
C-7161-01-LM6-026	A22	BRD-K87782578-001-01-4	0.156829703703221152	0.370370370369230769	DMSO
C-7161-01-LM6-026	A23	BRD-K87782578-001-01-4	0.0522765679010737174	0.123456790123076923	DMSO
C-7161-01-LM6-026	A24	BRD-K87782578-001-01-4	0.0174255226347769832	0.0411522633769230769	DMSO
C-7161-01-LM6-026	B01				DMSO
C-7161-01-LM6-026	B02				DMSO
C-7161-01-LM6-026	B03				DMSO
C-7161-01-LM6-026	B04				DMSO
C-7161-01-LM6-026	B05				DMSO
C-7161-01-LM6-026	B06				DMSO
C-7161-01-LM6-026	B07	BRD-A87435144-001-01-6	4.78870000000000004	9.99999999999999999	DMSO
C-7161-01-LM6-026	B08	BRD-A87435144-001-01-6	1.59623333333210548	3.33333333333076923	DMSO
C-7161-01-LM6-026	B09	BRD-A87435144-001-01-6	0.532077777779824238	1.11111111111538462	DMSO
C-7161-01-LM6-026	B10	BRD-A87435144-001-01-6	0.177359259258713540	0.370370370369230769	DMSO
C-7161-01-LM6-026	B11	BRD-A87435144-001-01-6	0.0591197530862378467	0.123456790123076923	DMSO
C-7161-01-LM6-026	B12	BRD-A87435144-001-01-6	0.0197065843633071540	0.0411522633769230769	DMSO
C-7161-01-LM6-026	B13	BRD-K87737963-001-06-0	4.14459799999999977	10.0000000000000001	DMSO
C-7161-01-LM6-026	B14	BRD-K87737963-001-06-0	1.38153266666560386	3.33333333333076923	DMSO
C-7161-01-LM6-026	B15	BRD-K87737963-001-06-0	0.460510888890660052	1.11111111111538461	DMSO
C-7161-01-LM6-026	B16	BRD-K87737963-001-06-0	0.153503629629157301	0.370370370369230769	DMSO
C-7161-01-LM6-026	B17	BRD-K87737963-001-06-0	0.0511678765430524335	0.123456790123076923	DMSO
C-7161-01-LM6-026	B18	BRD-K87737963-001-06-0	0.0170559588487468620	0.0411522633769230769	DMSO
C-7161-01-LM6-026	B19	BRD-K87909389-003-03-4	4.38300999999999987	9.99999999999999999	DMSO
C-7161-01-LM6-026	B20	BRD-K87909389-003-03-4	1.46100333333220944	3.33333333333076923	DMSO
C-7161-01-LM6-026	B21	BRD-K87909389-003-03-4	0.487001111112984181	1.11111111111538462	DMSO
C-7161-01-LM6-026	B22	BRD-K87909389-003-03-4	0.162333703703204211	0.370370370369230769	DMSO
C-7161-01-LM6-026	B23	BRD-K87909389-003-03-4	0.0541112345677347369	0.123456790123076923	DMSO
C-7161-01-LM6-026	B24	BRD-K87909389-003-03-4	0.0180370781903687610	0.0411522633769230769	DMSO
C-7161-01-LM6-026	C01	BRD-A88138582-001-04-8	4.54959000000000003	9.99999999999999999	DMSO
C-7161-01-LM6-026	C02	BRD-A88138582-001-04-8	1.51652999999883345	3.33333333333076923	DMSO
C-7161-01-LM6-026	C03	BRD-A88138582-001-04-8	0.505510000001944275	1.11111111111538462	DMSO
