	Image_Metadata_Plate	Image_Metadata_Well	cell_count
0	SQ00014814	A01	2171
1	SQ00014814	A02	2582
2	SQ00014814	A03	2498
3	SQ00014814	A04	2540
4	SQ00014814	A05	2663
5	SQ00014814	A06	2976
6	SQ00014814	A07	2804
7	SQ00014814	A08	2577
8	SQ00014814	A09	2767
9	SQ00014814	A10	2823
10	SQ00014814	A11	2784
11	SQ00014814	A12	2512
12	SQ00014814	A13	578
13	SQ00014814	A14	2250
14	SQ00014814	A15	2503
15	SQ00014814	A16	2724
16	SQ00014814	A17	2306
17	SQ00014814	A18	2563
18	SQ00014814	A19	889
19	SQ00014814	A20	1414
20	SQ00014814	A21	1751
21	SQ00014814	A22	2221
22	SQ00014814	A23	2149
23	SQ00014814	A24	2224
24	SQ00014814	B01	2576
25	SQ00014814	B02	2722
26	SQ00014814	B03	2687
27	SQ00014814	B04	2783
28	SQ00014814	B05	2874
29	SQ00014814	B06	2581
30	SQ00014814	B07	2565
31	SQ00014814	B08	3010
32	SQ00014814	B09	2891
33	SQ00014814	B10	2786
34	SQ00014814	B11	3007
35	SQ00014814	B12	2494
36	SQ00014814	B13	1811
37	SQ00014814	B14	2449
38	SQ00014814	B15	2843
39	SQ00014814	B16	2451
40	SQ00014814	B17	2989
41	SQ00014814	B18	2727
42	SQ00014814	B19	1853
43	SQ00014814	B20	2072
44	SQ00014814	B21	2338
45	SQ00014814	B22	2519
46	SQ00014814	B23	2319
47	SQ00014814	B24	2755
48	SQ00014814	C01	2409
49	SQ00014814	C02	2980
50	SQ00014814	C03	2974
51	SQ00014814	C04	2835
52	SQ00014814	C05	2780
53	SQ00014814	C06	3084
54	SQ00014814	C07	586
55	SQ00014814	C08	502
56	SQ00014814	C09	464
57	SQ00014814	C10	398
58	SQ00014814	C11	434
59	SQ00014814	C12	444
60	SQ00014814	C13	255
61	SQ00014814	C14	432
62	SQ00014814	C15	398
63	SQ00014814	C16	369
64	SQ00014814	C17	505
65	SQ00014814	C18	429
66	SQ00014814	C19	140
67	SQ00014814	C20	122
68	SQ00014814	C21	108
69	SQ00014814	C22	128
70	SQ00014814	C23	133
71	SQ00014814	C24	133
72	SQ00014814	D01	2438
73	SQ00014814	D02	2883
74	SQ00014814	D03	2707
75	SQ00014814	D04	2879
76	SQ00014814	D05	2973
77	SQ00014814	D06	2820
78	SQ00014814	D07	3115
79	SQ00014814	D08	2928
80	SQ00014814	D09	2743
81	SQ00014814	D10	2569
82	SQ00014814	D11	2950
83	SQ00014814	D12	2877
84	SQ00014814	D13	704
85	SQ00014814	D14	1543
86	SQ00014814	D15	1406
87	SQ00014814	D16	1223
88	SQ00014814	D17	1092
89	SQ00014814	D18	1152
90	SQ00014814	D19	2596
91	SQ00014814	D20	2464
92	SQ00014814	D21	2788
93	SQ00014814	D22	3102
94	SQ00014814	D23	3002
95	SQ00014814	D24	2504
96	SQ00014814	E01	354
97	SQ00014814	E02	472
98	SQ00014814	E03	627
99	SQ00014814	E04	712
100	SQ00014814	E05	1272
101	SQ00014814	E06	2055
102	SQ00014814	E07	2849
103	SQ00014814	E08	2840
104	SQ00014814	E09	2832
105	SQ00014814	E10	2765
106	SQ00014814	E11	3010
107	SQ00014814	E12	3001
108	SQ00014814	E13	2846
109	SQ00014814	E14	2947
110	SQ00014814	E15	2946
111	SQ00014814	E16	3155
112	SQ00014814	E17	2778
113	SQ00014814	E18	2925
114	SQ00014814	E19	3461
115	SQ00014814	E20	2713
116	SQ00014814	E21	2930
117	SQ00014814	E22	2484
118	SQ00014814	E23	2981
