Image_Metadata_Plate,Image_Metadata_Well,cell_count
SQ00015128,A01,2325
SQ00015128,A02,2403
SQ00015128,A03,2207
SQ00015128,A04,2395
SQ00015128,A05,2495
SQ00015128,A06,2365
SQ00015128,A07,2028
SQ00015128,A08,2044
SQ00015128,A09,2192
SQ00015128,A10,2368
SQ00015128,A11,2103
SQ00015128,A12,2266
SQ00015128,A13,1936
SQ00015128,A14,1669
SQ00015128,A15,2310
SQ00015128,A16,2239
SQ00015128,A17,2298
SQ00015128,A18,2400
SQ00015128,A19,1582
SQ00015128,A20,1290
SQ00015128,A21,2074
SQ00015128,A22,2511
SQ00015128,A23,2381
SQ00015128,A24,2599
SQ00015128,B01,2337
SQ00015128,B02,2316
SQ00015128,B03,2253
SQ00015128,B04,2572
SQ00015128,B05,2674
SQ00015128,B06,2372
SQ00015128,B07,1645
SQ00015128,B08,2438
SQ00015128,B09,2710
SQ00015128,B10,2220
SQ00015128,B11,2469
SQ00015128,B12,2503
SQ00015128,B13,2150
SQ00015128,B14,2302
SQ00015128,B15,2445
SQ00015128,B16,2534
SQ00015128,B17,2421
SQ00015128,B18,2405
SQ00015128,B19,2410
SQ00015128,B20,2273
SQ00015128,B21,2707
SQ00015128,B22,2442
SQ00015128,B23,2428
SQ00015128,B24,2368
SQ00015128,C01,2202
SQ00015128,C02,2488
SQ00015128,C03,2538
SQ00015128,C04,2377
SQ00015128,C05,2326
SQ00015128,C06,2372
SQ00015128,C07,2676
SQ00015128,C08,2583
SQ00015128,C09,2363
SQ00015128,C10,2290
SQ00015128,C11,2486
SQ00015128,C12,2632
SQ00015128,C13,2267
SQ00015128,C14,2150
SQ00015128,C15,2489
SQ00015128,C16,2579
SQ00015128,C17,2567
SQ00015128,C18,2690
SQ00015128,C19,83
SQ00015128,C20,69
SQ00015128,C21,88
SQ00015128,C22,119
SQ00015128,C23,95
SQ00015128,C24,98
SQ00015128,D01,2231
SQ00015128,D02,2142
SQ00015128,D03,2260
SQ00015128,D04,2179
SQ00015128,D05,2349
SQ00015128,D06,2309
SQ00015128,D07,1150
SQ00015128,D08,2458
SQ00015128,D09,2238
SQ00015128,D10,2424
SQ00015128,D11,2569
SQ00015128,D12,2406
SQ00015128,D13,1958
SQ00015128,D14,2510
SQ00015128,D15,2438
SQ00015128,D16,2531
SQ00015128,D17,2595
SQ00015128,D18,2791
SQ00015128,D19,358
SQ00015128,D20,1585
SQ00015128,D21,2635
SQ00015128,D22,2318
SQ00015128,D23,2475
SQ00015128,D24,2172
SQ00015128,E01,2810
SQ00015128,E02,2908
SQ00015128,E03,2787
SQ00015128,E04,2778
SQ00015128,E05,2747
SQ00015128,E06,2516
SQ00015128,E07,2746
SQ00015128,E08,2722
SQ00015128,E09,2848
SQ00015128,E10,2746
SQ00015128,E11,2558
SQ00015128,E12,2522
SQ00015128,E13,336
SQ00015128,E14,483
SQ00015128,E15,632
SQ00015128,E16,766
SQ00015128,E17,1836
SQ00015128,E18,2447
SQ00015128,E19,2520
SQ00015128,E20,2481
SQ00015128,E21,2840
SQ00015128,E22,2455
SQ00015128,E23,2652
SQ00015128,E24,2424
SQ00015128,F01,2240
SQ00015128,F02,2475
SQ00015128,F03,2400
SQ00015128,F04,1879
SQ00015128,F05,2332
SQ00015128,F06,2262
SQ00015128,F07,2647
SQ00015128,F08,2563
SQ00015128,F09,2347
SQ00015128,F10,2696
SQ00015128,F11,2423
SQ00015128,F12,2600
SQ00015128,F13,1650
SQ00015128,F14,2251
SQ00015128,F15,2469
SQ00015128,F16,2475
SQ00015128,F17,2503
SQ00015128,F18,2860
SQ00015128,F19,2430
SQ00015128,F20,2633
SQ00015128,F21,2368
SQ00015128,F22,2749
SQ00015128,F23,2394
SQ00015128,F24,2580
SQ00015128,G01,2697
SQ00015128,G02,2813
SQ00015128,G03,2623
SQ00015128,G04,2569
SQ00015128,G05,2564
SQ00015128,G06,2445
SQ00015128,G07,2517
SQ00015128,G08,2601
SQ00015128,G09,2669
SQ00015128,G10,2332
SQ00015128,G11,2604
SQ00015128,G12,2442
SQ00015128,G13,96
SQ00015128,G14,85
SQ00015128,G15,74
SQ00015128,G16,89
SQ00015128,G17,86
SQ00015128,G18,75
SQ00015128,G19,2554
SQ00015128,G20,2734
SQ00015128,G21,2576
SQ00015128,G22,2593
SQ00015128,G23,2657
SQ00015128,G24,2712
SQ00015128,H01,2356
SQ00015128,H02,2533
SQ00015128,H03,2537
SQ00015128,H04,2264
SQ00015128,H05,2490
SQ00015128,H06,2312
SQ00015128,H07,2334
SQ00015128,H08,2760
SQ00015128,H09,2348
SQ00015128,H10,2709
SQ00015128,H11,2578
SQ00015128,H12,2655
SQ00015128,H13,50
SQ00015128,H14,37
SQ00015128,H15,46
SQ00015128,H16,891
SQ00015128,H17,1962
SQ00015128,H18,2340
SQ00015128,H19,2326
SQ00015128,H20,2701
SQ00015128,H21,2533
SQ00015128,H22,2800
SQ00015128,H23,2439
SQ00015128,H24,2383
SQ00015128,I01,1992
SQ00015128,I02,2914
SQ00015128,I03,2512
SQ00015128,I04,2783
SQ00015128,I05,2218
SQ00015128,I06,2552
SQ00015128,I07,2036
SQ00015128,I08,2387
SQ00015128,I09,2549
SQ00015128,I10,2663
SQ00015128,I11,2528
SQ00015128,I12,2581
SQ00015128,I13,2297
SQ00015128,I14,2580
SQ00015128,I15,2803
SQ00015128,I16,2253
SQ00015128,I17,2166
SQ00015128,I18,2301
SQ00015128,I19,192
SQ00015128,I20,278
SQ00015128,I21,259
SQ00015128,I22,243
SQ00015128,I23,284
SQ00015128,I24,779
SQ00015128,J01,2292
SQ00015128,J02,2635
SQ00015128,J03,2345
SQ00015128,J04,2324
SQ00015128,J05,2549
SQ00015128,J06,2297
SQ00015128,J07,67
SQ00015128,J08,2163
SQ00015128,J09,2327
SQ00015128,J10,2314
SQ00015128,J11,2272
SQ00015128,J12,2287
SQ00015128,J13,2517
SQ00015128,J14,2537
SQ00015128,J15,2106
SQ00015128,J16,2556
SQ00015128,J17,2547
SQ00015128,J18,2568
SQ00015128,J19,694
SQ00015128,J20,1316
SQ00015128,J21,1866
SQ00015128,J22,2552
SQ00015128,J23,2429
SQ00015128,J24,2486
SQ00015128,K01,2862
SQ00015128,K02,2569
SQ00015128,K03,2744
SQ00015128,K04,2413
SQ00015128,K05,2343
SQ00015128,K06,2417
SQ00015128,K07,47
SQ00015128,K08,43
SQ00015128,K09,64
SQ00015128,K10,62
SQ00015128,K11,56
SQ00015128,K12,52
SQ00015128,K13,2452
SQ00015128,K14,2517
SQ00015128,K15,2561
SQ00015128,K16,2345
SQ00015128,K17,2399
SQ00015128,K18,2695
SQ00015128,K19,462
SQ00015128,K20,475
SQ00015128,K21,1779
SQ00015128,K22,2563
SQ00015128,K23,2485
SQ00015128,K24,2390
SQ00015128,L01,2229
SQ00015128,L02,2565
SQ00015128,L03,2632
SQ00015128,L04,2629
SQ00015128,L05,2411
SQ00015128,L06,2553
SQ00015128,L07,1477
SQ00015128,L08,2106
SQ00015128,L09,2196
SQ00015128,L10,2205
SQ00015128,L11,2535
SQ00015128,L12,2560
SQ00015128,L13,2376
SQ00015128,L14,2531
SQ00015128,L15,2251
SQ00015128,L16,2197
SQ00015128,L17,2324
SQ00015128,L18,2567
SQ00015128,L19,1165
SQ00015128,L20,2519
SQ00015128,L21,2097
SQ00015128,L22,2413
SQ00015128,L23,2321
SQ00015128,L24,2200
SQ00015128,M01,1838
SQ00015128,M02,2296
SQ00015128,M03,2277
SQ00015128,M04,2364
SQ00015128,M05,2425
SQ00015128,M06,2201
SQ00015128,M07,2294
SQ00015128,M08,2713
SQ00015128,M09,2482
SQ00015128,M10,2693
SQ00015128,M11,2370
SQ00015128,M12,2402
SQ00015128,M13,2305
SQ00015128,M14,2541
SQ00015128,M15,2485
SQ00015128,M16,2541
SQ00015128,M17,2634
SQ00015128,M18,2197
SQ00015128,M19,214
SQ00015128,M20,480
SQ00015128,M21,1748
SQ00015128,M22,2205
SQ00015128,M23,2359
SQ00015128,M24,2486
SQ00015128,N01,2544
SQ00015128,N02,2570
SQ00015128,N03,2460
SQ00015128,N04,2377
SQ00015128,N05,2510
SQ00015128,N06,2212
SQ00015128,N07,1431
SQ00015128,N08,2389
SQ00015128,N09,2307
SQ00015128,N10,2430
SQ00015128,N11,2130
SQ00015128,N12,2332
SQ00015128,N13,2304
SQ00015128,N14,2611
SQ00015128,N15,2308
SQ00015128,N16,2461
SQ00015128,N17,2412
SQ00015128,N18,2295
SQ00015128,N19,2297
SQ00015128,N20,2108
SQ00015128,N21,2358
SQ00015128,N22,2482
SQ00015128,N23,2546
SQ00015128,N24,2386
SQ00015128,O01,48
SQ00015128,O02,87
SQ00015128,O03,64
SQ00015128,O04,56
SQ00015128,O05,61
SQ00015128,O06,68
SQ00015128,O07,2745
SQ00015128,O08,2548
SQ00015128,O09,2610
SQ00015128,O10,2340
SQ00015128,O11,2407
SQ00015128,O12,2425
SQ00015128,O13,2316
SQ00015128,O14,2476
SQ00015128,O15,2496
SQ00015128,O16,2484
SQ00015128,O17,2578
SQ00015128,O18,2656
SQ00015128,O19,2177
SQ00015128,O20,2233
SQ00015128,O21,2310
SQ00015128,O22,2323
SQ00015128,O23,2597
SQ00015128,O24,2237
SQ00015128,P01,2218
SQ00015128,P02,2449
SQ00015128,P03,2612
SQ00015128,P04,2444
SQ00015128,P05,2295
SQ00015128,P06,2408
SQ00015128,P07,2089
SQ00015128,P08,2545
SQ00015128,P09,2670
SQ00015128,P10,2409
SQ00015128,P11,2305
SQ00015128,P12,2286
SQ00015128,P13,1728
SQ00015128,P14,2283
SQ00015128,P15,2456
SQ00015128,P16,2586
SQ00015128,P17,2264
SQ00015128,P18,2377
SQ00015128,P19,2611
SQ00015128,P20,2206
SQ00015128,P21,2257
SQ00015128,P22,2525
SQ00015128,P23,2542
SQ00015128,P24,2106
