Metadata_Plate,Metadata_Well,cell_count
BR00092712,A01,1433
BR00092712,A02,1192
BR00092712,A03,1313
BR00092712,A04,1395
BR00092712,A05,1350
BR00092712,A06,1340
BR00092712,A07,907
BR00092712,A08,1029
BR00092712,A09,1024
BR00092712,A10,1469
BR00092712,A11,1230
BR00092712,A12,1267
BR00092712,A13,298
BR00092712,A14,321
BR00092712,A15,534
BR00092712,A16,661
BR00092712,A17,868
BR00092712,A18,1328
BR00092712,A19,1222
BR00092712,A20,1143
BR00092712,A21,1292
BR00092712,A22,735
BR00092712,A23,823
BR00092712,A24,1213
BR00092712,B01,1339
BR00092712,B02,1292
BR00092712,B03,1129
BR00092712,B04,512
BR00092712,B05,471
BR00092712,B06,1012
BR00092712,B07,757
BR00092712,B08,1211
BR00092712,B09,1132
BR00092712,B10,776
BR00092712,B11,881
BR00092712,B12,902
BR00092712,B13,1118
BR00092712,B14,1299
BR00092712,B15,1282
BR00092712,B16,1063
BR00092712,B17,1250
BR00092712,B18,1140
BR00092712,B19,1400
BR00092712,B20,1268
BR00092712,B21,1227
BR00092712,B22,1124
BR00092712,B23,1399
BR00092712,B24,1569
BR00092712,C01,835
BR00092712,C02,1176
BR00092712,C03,1319
BR00092712,C04,478
BR00092712,C05,499
BR00092712,C06,627
BR00092712,C07,602
BR00092712,C08,1096
BR00092712,C09,1252
BR00092712,C10,1222
BR00092712,C11,1377
BR00092712,C12,1234
BR00092712,C13,993
BR00092712,C14,1320
BR00092712,C15,1352
BR00092712,C16,1235
BR00092712,C17,1263
BR00092712,C18,1260
BR00092712,C19,508
BR00092712,C20,511
BR00092712,C21,471
BR00092712,C22,457
BR00092712,C23,491
BR00092712,C24,483
BR00092712,D01,761
BR00092712,D02,998
BR00092712,D03,1095
BR00092712,D04,414
BR00092712,D05,266
BR00092712,D06,371
BR00092712,D07,984
BR00092712,D08,1292
BR00092712,D09,1298
BR00092712,D10,49
BR00092712,D11,65
BR00092712,D12,1080
BR00092712,D13,1203
BR00092712,D14,1374
BR00092712,D15,1419
BR00092712,D16,862
BR00092712,D17,713
BR00092712,D18,874
BR00092712,D19,837
BR00092712,D20,1225
BR00092712,D21,1188
BR00092712,D22,1259
BR00092712,D23,1473
BR00092712,D24,1494
BR00092712,E01,1137
BR00092712,E02,1308
BR00092712,E03,1539
BR00092712,E04,1395
BR00092712,E05,1413
BR00092712,E06,1448
BR00092712,E07,1301
BR00092712,E08,1437
BR00092712,E09,1386
BR00092712,E10,1448
BR00092712,E11,1519
BR00092712,E12,1600
BR00092712,E13,683
BR00092712,E14,1429
BR00092712,E15,1568
BR00092712,E16,1210
BR00092712,E17,1198
BR00092712,E18,1241
BR00092712,E19,1485
BR00092712,E20,1556
BR00092712,E21,1593
BR00092712,E22,1053
BR00092712,E23,1524
BR00092712,E24,1561
BR00092712,F01,1398
BR00092712,F02,1301
BR00092712,F03,1426
BR00092712,F04,765
BR00092712,F05,1628
BR00092712,F06,1629
BR00092712,F07,1562
BR00092712,F08,1724
BR00092712,F09,1620
BR00092712,F10,1032
BR00092712,F11,1471
BR00092712,F12,1512
BR00092712,F13,1075
BR00092712,F14,1371
BR00092712,F15,1575
BR00092712,F16,332
BR00092712,F17,522
BR00092712,F18,597
BR00092712,F19,1415
BR00092712,F20,1593
BR00092712,F21,1509
BR00092712,F22,1149
BR00092712,F23,1426
BR00092712,F24,1659
BR00092712,G01,1506
BR00092712,G02,1360
BR00092712,G03,1641
BR00092712,G04,1121
BR00092712,G05,1712
BR00092712,G06,1607
BR00092712,G07,1633
BR00092712,G08,1640
BR00092712,G09,1598
BR00092712,G10,1480
BR00092712,G11,1696
BR00092712,G12,1669
BR00092712,G13,1645
BR00092712,G14,1678
BR00092712,G15,1654
BR00092712,G16,1552
BR00092712,G17,1483
BR00092712,G18,1664
BR00092712,G19,1367
BR00092712,G20,1539
BR00092712,G21,1569
BR00092712,G22,1351
BR00092712,G23,1379
BR00092712,G24,1374
BR00092712,H01,1338
BR00092712,H02,1260
BR00092712,H03,1457
BR00092712,H04,1434
BR00092712,H05,1574
BR00092712,H06,1678
BR00092712,H07,1396
BR00092712,H08,1558
BR00092712,H09,1702
BR00092712,H10,1615
BR00092712,H11,1672
BR00092712,H12,1870
BR00092712,H13,1570
BR00092712,H14,1507
BR00092712,H15,1581
BR00092712,H16,1485
BR00092712,H17,1565
BR00092712,H18,1594
BR00092712,H19,667
BR00092712,H20,568
BR00092712,H21,623
BR00092712,H22,656
BR00092712,H23,1358
BR00092712,H24,1439
BR00092712,I01,281
BR00092712,I02,270
BR00092712,I03,444
BR00092712,I04,41
BR00092712,I05,1638
BR00092712,I06,1552
BR00092712,I07,93
BR00092712,I08,73
BR00092712,I09,963
BR00092712,I10,1717
BR00092712,I11,1710
BR00092712,I12,1617
BR00092712,I13,1402
BR00092712,I14,1859
BR00092712,I15,1707
BR00092712,I16,622
BR00092712,I17,681
BR00092712,I18,691
BR00092712,I19,1664
BR00092712,I20,1651
BR00092712,I21,1639
BR00092712,I22,1477
BR00092712,I23,1377
BR00092712,I24,1459
BR00092712,J01,698
BR00092712,J02,1464
BR00092712,J03,1566
BR00092712,J04,717
BR00092712,J05,817
BR00092712,J06,1492
BR00092712,J07,1336
BR00092712,J08,1584
BR00092712,J09,1538
BR00092712,J10,544
BR00092712,J11,673
BR00092712,J12,744
BR00092712,J13,1197
BR00092712,J14,1578
BR00092712,J15,1594
BR00092712,J16,1737
BR00092712,J17,1749
BR00092712,J18,1745
BR00092712,J19,689
BR00092712,J20,670
BR00092712,J21,938
BR00092712,J22,1465
BR00092712,J23,1288
BR00092712,J24,1493
BR00092712,K01,906
BR00092712,K02,1120
BR00092712,K03,1398
BR00092712,K04,1479
BR00092712,K05,1532
BR00092712,K06,1482
BR00092712,K07,624
BR00092712,K08,653
BR00092712,K09,646
BR00092712,K10,634
BR00092712,K11,655
BR00092712,K12,568
BR00092712,K13,1647
BR00092712,K14,1732
BR00092712,K15,1857
BR00092712,K16,1195
BR00092712,K17,1192
BR00092712,K18,1390
BR00092712,K19,899
BR00092712,K20,1311
BR00092712,K21,1671
BR00092712,K22,775
BR00092712,K23,1236
BR00092712,K24,1614
BR00092712,L01,840
BR00092712,L02,1309
BR00092712,L03,1510
BR00092712,L04,1190
BR00092712,L05,1456
BR00092712,L06,1654
BR00092712,L07,1069
BR00092712,L08,1496
BR00092712,L09,1621
BR00092712,L10,1136
BR00092712,L11,1138
BR00092712,L12,1221
BR00092712,L13,766
BR00092712,L14,836
BR00092712,L15,771
BR00092712,L16,1142
BR00092712,L17,1703
BR00092712,L18,1710
BR00092712,L19,1346
BR00092712,L20,1840
BR00092712,L21,1629
BR00092712,L22,583
BR00092712,L23,1204
BR00092712,L24,1187
BR00092712,M01,680
BR00092712,M02,1113
BR00092712,M03,1328
BR00092712,M04,1317
BR00092712,M05,1495
BR00092712,M06,1467
BR00092712,M07,271
BR00092712,M08,247
BR00092712,M09,274
BR00092712,M10,1413
BR00092712,M11,1447
BR00092712,M12,1370
BR00092712,M13,770
BR00092712,M14,708
BR00092712,M15,781
BR00092712,M16,1406
BR00092712,M17,1608
BR00092712,M18,1425
BR00092712,M19,421
BR00092712,M20,1501
BR00092712,M21,1261
BR00092712,M22,87
BR00092712,M23,208
BR00092712,M24,636
BR00092712,N01,496
BR00092712,N02,475
BR00092712,N03,998
BR00092712,N04,556
BR00092712,N05,788
BR00092712,N06,1027
BR00092712,N07,233
BR00092712,N08,705
BR00092712,N09,770
BR00092712,N10,1435
BR00092712,N11,1424
BR00092712,N12,1328
BR00092712,N13,644
BR00092712,N14,1303
BR00092712,N15,1360
BR00092712,N16,1255
BR00092712,N17,1153
BR00092712,N18,1219
BR00092712,N19,914
BR00092712,N20,1176
BR00092712,N21,1158
BR00092712,N22,837
BR00092712,N23,1187
BR00092712,N24,1321
BR00092712,O01,1145
BR00092712,O02,1053
BR00092712,O03,1120
BR00092712,O04,1218
BR00092712,O05,1147
BR00092712,O06,1188
BR00092712,O07,839
BR00092712,O08,1231
BR00092712,O09,1287
BR00092712,O10,476
BR00092712,O11,568
BR00092712,O12,595
BR00092712,O13,1225
BR00092712,O14,1267
BR00092712,O15,1300
BR00092712,O16,233
BR00092712,O17,951
BR00092712,O18,1191
BR00092712,O19,150
BR00092712,O20,462
BR00092712,O21,577
BR00092712,O22,115
BR00092712,O23,45
BR00092712,O24,809
BR00092712,P01,441
BR00092712,P02,437
BR00092712,P03,496
BR00092712,P04,473
BR00092712,P05,512
BR00092712,P06,776
BR00092712,P07,954
BR00092712,P08,992
BR00092712,P09,1215
BR00092712,P10,439
BR00092712,P11,547
BR00092712,P12,556
BR00092712,P13,13
BR00092712,P14,955
BR00092712,P15,1061
BR00092712,P16,1241
BR00092712,P17,1310
BR00092712,P18,1239
BR00092712,P19,943
BR00092712,P20,1251
BR00092712,P21,1200
BR00092712,P22,1003
BR00092712,P23,1257
BR00092712,P24,1213
